id,first_taste,second_taste,third_taste,fourth_taste
0,cocoa,blackberry,full body,
1,cocoa,vegetal,savory,
2,rich cocoa,fatty,bready,
3,fruity,melon,roasty,
4,vegetal,nutty,,
5,oily,nut,caramel,raspberry
6,sweet,cocoa,tangerine,
7,sandy,nutty,cocoa,fig
8,cocoa,sour,intense tangerine,
9,mild tobacco,,,
10,mild fruit,strong smoke,,
11,green,nutty,cocoa,
12,sticky,red fruit,sour,
13,sticky,smokey,grass,
14,brief fruit note,earthy,nutty,
15,burnt rubber,alkalyzed notes,,
16,delicate,hazelnut,brownie,
17,astringent,nutty,chocolatey,
18,sliglty dry,papaya,,
19,nutty,mild choco,roasty,
20,harsh,leather,earthy,
21,mild profile,chocolaty,spice,
22,grainy texture,cocoa,sweet,
23,roasty,acidic,nutty,
24,burnt wood,earthy,choco,
25,sweet,chocolatey,vegetal,
26,sweet,dairy,spice,cocoa
27,alluring aroma,powdery,nutty,
28,yellow fruit,,,
29,intense,nutty,cherry,cocoa
30,hot cocoa,rich,molasses,
31,herbal,molasses,hammy,
32,orange,floral,lemon,
33,cocoa and powerful tang,,,
34,spicy and candy-like,,,
35,sweet,sublte strawberry,,
36,sandy,woody,spicy,sweet
37,basic,sweet,cocoa,woody
38,sweet,cocoa,rubbery,
39,unrefined,sweet,metallic,
40,roasty,nutty,coffee,
41,sandy,sweet,banana cream,
42,gritty,spice,cocoa,
43,strong pepper,musty,,
44,fatty,intense,woody,
45,hay,nut,berry,
46,sandy,dirt,ashey,
47,cardboard,dirt,roasty,
48,citrus,fatty,dairy,
49,roasty,sweet,savory,
50,nutty,roasty,odd dairy,
51,strawberry,cream,gateway,
52,sandy,green,floral,
53,sandy,sweet,nibby,
54,sandy,melon,banana,
55,sandy,sweet,roasty,
56,gritty,berry,mild bitter,
57,gritty,too sweet,fruit,
58,sandy,sweet,dairy,spice
59,grit,sweet,caramel,fruit
60,sweet,moldy,off,
61,dry,sweet,caramel,
62,powdery,sweet,molasses,
63,sandy,nutty,earthy,roasty
64,sandy,sweet,pungent,
65,sandy,sweet,sour,off
66,sweet,coarse,nutty,
67,spicy,strawberry,,
68,spice,nut,cocoa,fruit
69,waxy,nutty,mint,
70,sticky,nutty,high acidity,
71,hot spice,roasty,,
72,strong spice,intense pepper,,
73,orange,cinamon,,
74,woody,red berry,sour,
75,tart,lemon,smoke,
76,dry,chalky,fudge-like,
77,roasty,oddly sweet,marshmallow,
78,waxy mouthfeel,spicy,,
79,fatty,mushroom,off notes,
80,oily,vegetal,nutty,cocoa
81,oily,vanilla,melon,cocoa
82,rich,sour,mild smoke,
83,fruity,sour,,
84,high roast,high astringnet,,
85,smokey,savory,,
86,sandy,roasty,nutty,
87,roasty,brownie,nutty,
88,red wine,rich cocoa,long,
89,creamy,fruit,cocoa,
90,fruity with coffee notes,,,
91,coffee,fruit,woodsy,
92,fatty,dairy,caramel,cocoa
93,creamy,earthy,vegetal,
94,sandy,woody,spicy,
95,creamy,raspberry,nutty,
96,sweet,delicate,complex,
97,vanilla,mint,roasty,
98,vanilla,nuts,roasty,
99,nutty,mild roasty,vanilla,
100,nut,fatty,rubbery,rich
101,creamy,sweet,cocoa,banana
102,very sweet,bright red,banana,
103,roasty,fatty,nutty,coffee
104,creamy,red berry,bitter,
105,grainy,sweet,poor aftertaste,
106,chalky,mild fruit,burnt,
107,light roast,caramel,cocoa,
108,sandy,fruity,short,
109,nutty,mild spice,mild earthy,
110,bitter,floral,leather,
111,earthy,sour milk,leather,
112,creamy,sticky,peanut butter,
113,spicy,cocoa,,
114,floral,strawberry,metallic,
115,creamy,rich,rum,roasty
116,floral,nutty,rich cocoa,
117,spicy,brownie,nutty,
118,intense,floral,bourbon,
119,strawberry,butterscotch,off,
120,floral,chemical off,,
121,balanced,cherry,choco,
122,creamy,complex,balanced,
123,appealing smoke,woody,,
124,muddy,rich cocoa,raspberry,
125,dark berry,chocolatey,,
126,delicate,simple,,
127,cashew,roasty,chunky melt,
128,subtle,mysterious,,
129,nutty,green,,
130,sticky,floral,roasty,
131,chewy,mild floral,,
132,smoke,hammy,cocoa base,
133,earthy,nutty,cardboard,
134,creamy,bright fruit,,
135,long lasting,cocoa,,
136,slight roasty,basic cocoa,,
137,sour fruit,,,
138,rich cocoa,mild roasty,,
139,dried fruit,fig,anise,
140,smooth,nutty,cocoa,
141,nuts,dried fruit,short,
142,herbs,mushroom,acidic,
143,burn butterscotch,rubbery,,
144,smooth,vegetal,,
145,roasty,rich cocoa,,
146,melon,late hammy,,
147,cocoa,earthy,hammy,
148,spicy,minty,vegetal,
149,spice,cocoa,short,
150,sl. bitter,cherry,rich,
151,spicey,mild metallic,,
152,gritty,very smokey,sour,
153,oily,nutty,burnt,sour
154,cocoa,dominate off note,,
155,grassy,black licorice,mint,
156,black pepper and banana,,,
157,chewy,grassy,nutty,
158,unrefined,distinct spicey,,
159,nuts,butterscotch,brownie,
160,blackpepper,chemical,rubber,
161,marshmallow,roasty,nutty,
162,gritty,nutty,,
163,creamy,marshmallow,off,
164,smooth,astringent,cocoa,
165,leather,black licorice,off,
166,strawberries,mild tart,roasty,
167,creamy,woody,cocoa,
168,grapes,woody,roasty,
169,creamy,rich,blueberry,
170,off aroma,vegetal,honey,sandy
171,long,bright fruit,sweet,sour
172,waxy,dried fruit,,
173,sandy,roasty,nutty,
174,sandy,vanilla,,
175,unrefined,flat,grassy,
176,chalky,intense,chemical,
